prop1;prop2;prop3;allprop
3.099;81.507;-0.279;[3.0988621711730957, 81.50688934326172, -0.27855384349823]
2.719;82.109;-0.29;[2.7187633514404297, 82.10902404785156, -0.28955113887786865]
2.774;75.148;-0.281;[2.7741987705230713, 75.1475830078125, -0.2812154293060303]
1.949;80.93;-0.279;[1.949157476425171, 80.93049621582031, -0.2790232300758362]
2.009;81.369;-0.279;[2.0085012912750244, 81.36932373046875, -0.27905094623565674]
2.384;77.982;-0.271;[2.3844048976898193, 77.98201751708984, -0.2711385488510132]
2.085;74.511;-0.275;[2.084644079208374, 74.51081848144531, -0.2754601240158081]
2.101;85.154;-0.276;[2.101278066635132, 85.15362548828125, -0.27624207735061646]
1.909;81.101;-0.278;[1.9090819358825684, 81.10051727294922, -0.2780327796936035]
1.447;88.886;-0.289;[1.4468742609024048, 88.88601684570312, -0.28922659158706665]
2.427;78.157;-0.268;[2.427473783493042, 78.15657043457031, -0.2681184411048889]
1.553;89.138;-0.288;[1.5529282093048096, 89.13802337646484, -0.2878420352935791]
1.292;93.135;-0.293;[1.2916744947433472, 93.13480377197266, -0.29278236627578735]
1.867;85.796;-0.279;[1.866678237915039, 85.79623413085938, -0.2791648507118225]
2.117;85.118;-0.275;[2.116624116897583, 85.11848449707031, -0.27507466077804565]
1.949;81.476;-0.275;[1.9486401081085205, 81.47640228271484, -0.27454209327697754]
2.169;78.584;-0.273;[2.1687490940093994, 78.58354949951172, -0.27317875623703003]
1.629;85.636;-0.272;[1.629443645477295, 85.63629150390625, -0.2723466753959656]
2.03;81.434;-0.28;[2.0303549766540527, 81.43364715576172, -0.2800200581550598]
2.247;74.043;-0.275;[2.2470059394836426, 74.04340362548828, -0.2749329209327698]
1.499;88.395;-0.291;[1.4985806941986084, 88.39524841308594, -0.2908950448036194]
1.421;88.143;-0.293;[1.4213294982910156, 88.14253234863281, -0.2925871014595032]
1.992;80.99;-0.28;[1.9919395446777344, 80.98997497558594, -0.27952390909194946]
1.748;90.526;-0.299;[1.7481613159179688, 90.52590942382812, -0.29921525716781616]
3.139;75.048;-0.275;[3.139136552810669, 75.04777526855469, -0.275493323802948]
2.905;79.901;-0.28;[2.9047257900238037, 79.90054321289062, -0.2800605893135071]
2.654;75.85;-0.282;[2.6539857387542725, 75.85000610351562, -0.2819591164588928]
3.721;76.492;-0.274;[3.7214877605438232, 76.49177551269531, -0.2738955020904541]
3.631;85.603;-0.281;[3.6309592723846436, 85.60326385498047, -0.2807932496070862]
3.694;83.329;-0.282;[3.6944355964660645, 83.32929229736328, -0.2817023992538452]
3.599;78.759;-0.282;[3.599177598953247, 78.75944519042969, -0.28234410285949707]
