prop0;prop1;prop2;allprop;;
2.136333703994750977e+00;8.195034790039062500e+01;-2.566306889057159424e-01;2.064953565597534180e+00;8.308565521240234375e+01;-2.372178435325622559e-01
2.497907876968383789e+00;8.179725646972656250e+01;-2.431611418724060059e-01;2.351129055023193359e+00;8.059641265869140625e+01;-2.314339280128479004e-01
2.366297721862792969e+00;7.584528350830078125e+01;-2.493983805179595947e-01;2.346378087997436523e+00;7.542631530761718750e+01;-2.350635528564453125e-01
1.761817693710327148e+00;8.070845794677734375e+01;-2.436954975128173828e-01;1.759238123893737793e+00;8.049459075927734375e+01;-2.378132045269012451e-01
1.789176583290100098e+00;8.065282440185546875e+01;-2.477096319198608398e-01;1.776898503303527832e+00;8.105990600585937500e+01;-2.387064695358276367e-01
2.429357528686523438e+00;7.758563232421875000e+01;-2.404539883136749268e-01;2.162640333175659180e+00;7.751836395263671875e+01;-2.380555570125579834e-01
2.021491289138793945e+00;7.492366790771484375e+01;-2.420055568218231201e-01;1.904709458351135254e+00;7.453675079345703125e+01;-2.418417185544967651e-01
2.099954128265380859e+00;8.311727905273437500e+01;-2.388055324554443359e-01;2.003061294555664062e+00;8.329654693603515625e+01;-2.343944609165191650e-01
1.633049726486206055e+00;8.079168701171875000e+01;-2.458290159702301025e-01;2.039198875427246094e+00;7.970835113525390625e+01;-2.315136492252349854e-01
1.206959247589111328e+00;8.544215393066406250e+01;-2.554925680160522461e-01;1.637653112411499023e+00;8.579336547851562500e+01;-2.382441163063049316e-01
2.534736633300781250e+00;7.701953887939453125e+01;-2.385582476854324341e-01;2.124427080154418945e+00;7.713963317871093750e+01;-2.392221391201019287e-01
1.362779378890991211e+00;8.544713592529296875e+01;-2.535120546817779541e-01;1.651554584503173828e+00;8.602717590332031250e+01;-2.383283078670501709e-01
1.312012434005737305e+00;8.795533752441406250e+01;-2.267488688230514526e-01;1.890979886054992676e+00;8.834420013427734375e+01;-2.315528988838195801e-01
1.765220761299133301e+00;8.326895141601562500e+01;-2.275140881538391113e-01;1.994429826736450195e+00;8.287668609619140625e+01;-2.318886518478393555e-01
2.206446886062622070e+00;8.260341644287109375e+01;-2.369217574596405029e-01;1.975369334220886230e+00;8.297783660888671875e+01;-2.353482842445373535e-01
1.761382818222045898e+00;8.069169616699218750e+01;-2.473482191562652588e-01;1.938761949539184570e+00;8.059896850585937500e+01;-2.367503494024276733e-01
