prop1;prop2;prop3;allprop
2.1511292;83.06142;-0.22656697;[2.1511292457580566, 83.06141662597656, -0.22656697034835815]
2.2436624;84.66849;-0.22832344;[2.2436623573303223, 84.66848754882812, -0.22832344472408295]
2.414806;77.61956;-0.23143227;[2.4148058891296387, 77.61956024169922, -0.23143227398395538]
1.0253266;81.79486;-0.22327258;[1.0253266096115112, 81.79486083984375, -0.22327257692813873]
1.0069394;82.229546;-0.22294372;[1.00693941116333, 82.22954559326172, -0.2229437232017517]
1.1547115;79.07482;-0.22562148;[1.1547114849090576, 79.07482147216797, -0.22562147676944733]
1.2774043;75.21449;-0.22756726;[1.2774043083190918, 75.21449279785156, -0.22756725549697876]
0.90756583;86.365974;-0.22212012;[0.9075658321380615, 86.36597442626953, -0.22212012112140656]
1.0700995;83.148544;-0.2246811;[1.0700994729995728, 83.14854431152344, -0.224681094288826]
0.7881;88.845856;-0.21977434;[0.788100004196167, 88.84585571289062, -0.21977433562278748]
1.1418647;79.534805;-0.22541054;[1.1418646574020386, 79.53480529785156, -0.22541053593158722]
0.78405166;88.971565;-0.21995543;[0.7840516567230225, 88.97156524658203, -0.2199554294347763]
0.63219714;93.873276;-0.21730985;[0.6321971416473389, 93.87327575683594, -0.2173098474740982]
0.8425491;87.60227;-0.22037269;[0.8425490856170654, 87.6022720336914, -0.22037269175052643]
0.89546514;86.79927;-0.22191694;[0.8954651355743408, 86.79927062988281, -0.22191694378852844]
0.9948708;83.145706;-0.22250736;[0.9948707818984985, 83.14570617675781, -0.22250735759735107]
1.088832;80.34198;-0.22386509;[1.0888320207595825, 80.34197998046875, -0.2238650918006897]
0.89132524;87.95039;-0.22183639;[0.8913252353668213, 87.95039367675781, -0.2218363881111145]
1.053246;82.09802;-0.2242333;[1.053246021270752, 82.0980224609375, -0.22423329949378967]
1.26247;75.84629;-0.22727868;[1.262470006942749, 75.8462905883789, -0.2272786796092987]
0.8075521;89.312546;-0.22074218;[0.8075520992279053, 89.31254577636719, -0.22074218094348907]
0.76626277;89.61264;-0.22018547;[0.7662627696990967, 89.61264038085938, -0.22018547356128693]
1.0178273;83.04803;-0.22380346;[1.0178272724151611, 83.04802703857422, -0.22380346059799194]
0.87161994;91.44416;-0.2207358;[0.8716199398040771, 91.44416046142578, -0.2207358032464981]
2.5792694;76.92099;-0.231132;[2.5792694091796875, 76.92098999023438, -0.23113200068473816]
2.5342593;81.27156;-0.22949047;[2.53425931930542, 81.27156066894531, -0.2294904738664627]
2.4877598;76.88125;-0.23093602;[2.487759828567505, 76.8812484741211, -0.23093602061271667]
2.7705097;77.96717;-0.23169373;[2.770509719848633, 77.96717071533203, -0.23169372975826263]
2.382913;86.83613;-0.22668731;[2.382913112640381, 86.83612823486328, -0.22668731212615967]
2.522982;85.28985;-0.22819468;[2.522981882095337, 85.28984832763672, -0.2281946837902069]
2.1930027;80.34516;-0.22807923;[2.193002700805664, 80.34516143798828, -0.22807922959327698]
3.4790921;83.19724;-0.23515573;[3.4790921211242676, 83.1972427368164, -0.23515573143959045]
2.3876362;84.64147;-0.22924064;[2.387636184692383, 84.64147186279297, -0.22924064099788666]
0.8295243;86.97739;-0.22036615;[0.8295242786407471, 86.97738647460938, -0.22036615014076233]
0.8864186;88.42824;-0.22328433;[0.8864185810089111, 88.42823791503906, -0.22328433394432068]
